Mountain Dew,43.05,65
Ice Cream - Life Savers,33.1,43
Flour - Chickpea,69.6,59
Rabbit - Whole,31.1,59
Bread,92.55,89
Rice,35.85,19
Beef,1.25,55
"Coffee",18.92,63
Cherries,63.8,100
Sugar - Cubes,59.58,37
"Pasta - Elbows",15.02,61
"Cup - 3.5oz, Foam",11.1,93
Veal - Kidney,59.87,98
Chocolate - Sugar Free Semi Choc,28.34,90
"Wine - Magnotta - Red",66.67,48
Cheese - Blue,6.37,76
Sage - Rubbed,48.26,30
"Cookies - Oreo 4 Pack",67.22,10
Veal - Heart,28.02,46
"Wine - White Concha Y Toro",95.91,60
Pie Pecan,60.19,21
Lid - 16 Oz And 32 Oz,16.86,53
"Beef - Kindney Whole",64.94,83
"Trout - Hot Smkd Dbl Fillet",93.47,32
Catfish - Fillets,85.76,47
Honey - Lavender,75.82,24
Lady Fingers,76.12,79
Milk 2% 500 Ml,21.18,71
Lamb - Loin Chops,81.78,28
"Split Peas - Yellow Dry",86.38,4
Peach - Fresh,11.35,76
Lettuce - Frisee,56.49,10
Wine - Taylors Reserve,11.29,85
Corn Kernels - Frozen,28.8,52
Ecolab - Mikroklene 4/4 L,39.82,30
"Potatoes - Purple Organic",4.33,5
Pastry - French Mini Assorted,98.26,12
"Cake Circle Scallop",55.95,72
Butter - Salted,15.85,29
Lettuce - Spring Mix,24.4,39
Beer - True North Strong Ale,24.62,76
Longos - Cheese Tortellini,49.2,2
"Oil - Shortening Fry",53.77,40
"Lemonade - Mandarin 591 Ml",11.49,67
"Flour - Buckwheat Dark",80.27,60
Muffin - Mix - Strawberry Rhubarb,99.2,36
Tamarind Paste,89.51,70
Pork - Smoked Kassler,86.37,10
"Radish - Black Winter Organic",89.85,72
Pie Filling - Pumpkin,59.36,75
Sprouts - Onion,35.3,96
Table Cloth 81x81 Colour,39.02,68
Lamb Rack Frenched Australian,48.0,28
Cherries - Fresh,83.59,10
"Soup - Campbells Spinach Crm",84.94,9
Eggplant Italian,86.44,20
Wine - Cabernet Sauvignon,39.27,2
Pop Shoppe Cream Soda,29.83,55
Hipnotiq Liquor,41.35,12
Potatoes - Mini Red,55.77,26
"Bread - Rolls Rye",53.96,69
Juice - Ocean Spray Cranberry,40.28,14
Chef Hat 20cm,11.0,16
"Juice - Pineapple 341 Ml",93.57,80
Glucose,34.98,97
Beans - Fava Fresh,5.22,88
Olive - Spread Tapenade,29.56,13
Oil - Cooking Spray,97.22,39
Tamarind Paste,18.68,8
Pork - Smoked Kassler,25.47,98
"7up Diet 355 Ml",19.22,73
"Salsify Organic",82.12,97
"Octopus - Baby Cleaned",99.14,7
Breakfast Quesadillas,70.08,23
Gelatine Leaves - Envelopes,82.6,59
"Crush - Orange 355ml",52.73,89
Campari,36.92,26
Pasta - Cheese / Spinach Bauletti,20.34,92
Wine - Magnotta - Belpaese,14.0,79
Thermometer Digital,82.38,96
Yeast Dry - Fleischman,80.5,9
Muffin Chocolate Individual Wrap,47.82,18
Icecream - Dstk Strw Chseck,12.06,96
Tea - Herbal Sweet Dreams,56.62,68
Beer - Camerons Auburn,18.39,70
Water - Perrier,68.49,66
"Artichoke - Hearts Canned",1.81,53
Sauce - Hoisin,64.14,51
Wine - Sauvignon Blanc,12.67,44
Apple - Macintosh,41.27,75
Venison - Denver Leg Boneless,50.79,89
Sprouts - Bean,67.04,72
"Pail - 15l White With Handle",36.3,66
Wine - Barolo Fontanafredda,91.03,20
"Bread - Bagels Plain",16.57,2
Salmon Atl.whole 8 - 10 Lb,61.49,10
"Wine - White Colubia Cresh",12.23,19
"Sauce - White Mix",82.37,81
Beer - Corona,93.15,16